CHIST,APELLIDO,NOMBRE,NDOC,FENAC,SEXO,LOCALIDAD,ESTADO_CIVIL
100000,Fernandez,Ana,13778088,1947-02-13,F,Mendoza,Divorciado/a
100001,Martinez,Sofia,16600378,1995-02-03,F,La Plata,Viudo/a
100002,Sanchez,Maria,27172977,1983-12-16,M,La Plata,Soltero/a
100003,Gonzalez,Carlos,10586391,1971-07-05,M,Rosario,Soltero/a
100004,Lopez,Diego,34243693,1966-10-12,F,Rosario,Casado/a
100005,Lopez,Laura,12820542,1981-03-03,M,Mendoza,Casado/a
100006,Sanchez,Carlos,22212403,1974-12-08,M,Rosario,Divorciado/a
100007,Sanchez,Marta,18652776,1958-08-24,F,Cordoba,Viudo/a
100008,Sanchez,Pedro,38317081,1959-07-16,F,Mendoza,Viudo/a
100009,Lopez,Diego,28995257,2003-06-16,F,La Plata,Casado/a
100010,Sosa,Laura,24646969,1988-05-25,M,Cordoba,Viudo/a
100011,Lopez,Laura,44013622,1953-08-26,M,CABA,Casado/a
100012,Perez,Luis,36043734,1941-03-19,M,Rosario,Viudo/a
100013,Garcia,Marta,19565398,1997-01-04,F,CABA,Viudo/a
100014,Lopez,Pedro,18123164,2005-04-04,F,CABA,Soltero/a
100015,Garcia,Sofia,35028732,1986-01-20,M,La Plata,Divorciado/a
100016,Perez,Pedro,16820899,1996-12-11,M,Cordoba,Divorciado/a
100017,Sanchez,Juan,30342096,1956-05-01,M,CABA,Divorciado/a
100018,Sosa,Juan,19192322,1984-12-08,M,Mendoza,Viudo/a
100019,Sanchez,Maria,10533584,2003-12-25,M,Cordoba,Soltero/a
100020,Lopez,Sofia,20289405,1976-11-09,F,La Plata,Divorciado/a
100021,Romero,Maria,18005350,2000-02-17,M,Mendoza,Casado/a
100022,Fernandez,Ana,26443519,1975-08-27,M,La Plata,Viudo/a
100023,Romero,Juan,16838500,1996-10-14,M,CABA,Viudo/a
100024,Gonzalez,Maria,39459719,1957-11-07,M,Mendoza,Viudo/a
100025,Lopez,Sofia,13863836,1977-05-21,F,CABA,Casado/a
100026,Romero,Luis,40691147,1940-10-03,M,Mendoza,Soltero/a
100027,Martinez,Marta,25406479,1955-03-06,F,Mendoza,Soltero/a
100028,Sosa,Maria,32437450,1956-03-17,F,Cordoba,Divorciado/a
100029,Garcia,Pedro,10144172,1946-04-20,M,Rosario,Divorciado/a
100030,Fernandez,Sofia,36183412,1974-04-05,F,Cordoba,Viudo/a
100031,Lopez,Carlos,26340746,1944-06-17,M,La Plata,Viudo/a
100032,Sosa,Luis,22057854,1952-01-22,M,Cordoba,Viudo/a
100033,Garcia,Sofia,43733202,1949-04-04,F,La Plata,Casado/a
100034,Romero,Laura,24101783,2000-01-13,M,La Plata,Divorciado/a
100035,Sosa,Ana,27202745,1956-04-19,F,La Plata,Viudo/a
100036,Lopez,Luis,41151937,1976-01-21,M,La Plata,Divorciado/a
100037,Lopez,Carlos,33170870,1964-05-15,M,Rosario,Viudo/a
100038,Lopez,Marta,38893810,1945-02-23,F,CABA,Soltero/a
100039,Fernandez,Laura,27789704,1955-12-01,F,Rosario,Viudo/a
100040,Romero,Carlos,25048634,1974-08-18,M,Rosario,Soltero/a
100041,Garcia,Diego,14784053,1984-08-02,M,Cordoba,Viudo/a
100042,Perez,Sofia,10222977,1974-06-23,F,La Plata,Casado/a
100043,Perez,Sofia,14328008,1942-05-17,M,CABA,Soltero/a
100044,Sosa,Juan,32268129,1972-03-09,M,La Plata,Divorciado/a
100045,Martinez,Pedro,43163191,1966-06-02,F,CABA,Viudo/a
100046,Rodriguez,Maria,23529243,2002-05-01,M,La Plata,Soltero/a
100047,Rodriguez,Maria,21084604,1950-03-07,M,La Plata,Viudo/a
100048,Sosa,Sofia,24180657,1998-06-10,M,La Plata,Divorciado/a
100049,Sosa,Pedro,34713897,1952-07-08,M,Cordoba,Viudo/a
100050,Perez,Juan,40372545,2005-11-22,M,Rosario,Viudo/a
100051,Lopez,Pedro,28663188,1955-12-12,F,Cordoba,Divorciado/a
100052,Perez,Ana,19693301,1992-07-22,M,Cordoba,Viudo/a
100053,Martinez,Maria,20764704,2002-06-11,M,Mendoza,Viudo/a
100054,Garcia,Diego,30879122,1983-08-26,F,La Plata,Casado/a
100055,Gonzalez,Maria,26235439,1965-05-03,M,La Plata,Viudo/a
100056,Sanchez,Maria,21784063,1954-02-06,F,Rosario,Divorciado/a
100057,Martinez,Carlos,43679885,1993-04-19,F,Cordoba,Soltero/a
100058,Sanchez,Diego,14726615,1960-04-09,M,Mendoza,Soltero/a
100059,Romero,Pedro,34659633,1985-03-04,F,Mendoza,Soltero/a
100060,Lopez,Marta,43928102,2000-02-12,F,Mendoza,Divorciado/a
100061,Perez,Carlos,20612815,1940-05-08,M,Cordoba,Viudo/a
100062,Sosa,Pedro,34188936,1948-11-12,M,Rosario,Casado/a
100063,Sanchez,Pedro,18859912,1967-07-06,F,La Plata,Casado/a
100064,Lopez,Juan,31155387,1982-01-17,F,La Plata,Soltero/a
100065,Garcia,Marta,24940647,1973-07-08,M,Cordoba,Divorciado/a
100066,Garcia,Maria,37815564,1950-12-02,M,Rosario,Viudo/a
100067,Rodriguez,Carlos,25979108,1943-05-10,F,Rosario,Casado/a
100068,Lopez,Luis,27642049,1995-01-14,F,Mendoza,Casado/a
100069,Garcia,Juan,35045009,1985-02-04,M,Rosario,Viudo/a
100070,Sanchez,Carlos,16342426,1958-05-27,F,Rosario,Viudo/a
100071,Romero,Sofia,30676433,1980-04-04,F,La Plata,Casado/a
100072,Lopez,Carlos,35369604,1982-09-12,F,La Plata,Soltero/a
100073,Gonzalez,Maria,33946317,1983-09-25,M,La Plata,Divorciado/a
